State,count,mean,std,min,25%,50%,75%,max
Alabama,810.0,774140.3061728395,37624.365079088515,692832.0,745874.0,774596.0,802177.0,855922.0
Alaska,810.0,125819.78888888888,5591.717296809746,113499.0,121738.25,125777.0,129764.0,138502.0
Arizona,810.0,1312141.7049382715,55243.75358279468,1190462.0,1272400.25,1312247.5,1354721.75,1433994.0
Arkansas,810.0,311736.3765432099,25383.205586215507,259809.0,290780.0,312067.0,332221.75,363901.0
California,810.0,8367233.250617284,283173.3120631358,7759025.0,8152937.5,8364142.0,8581796.0,8969046.0
Colorado,810.0,1355122.6407407408,50129.661981493635,1244771.0,1316767.0,1354606.0,1390644.25,1465105.0
Connecticut,810.0,753796.2703703704,27869.860722640293,692548.0,732121.0,753600.0,773701.25,815619.0
Delaware,810.0,248943.0037037037,9793.517015681908,227164.0,241426.25,248892.0,255928.5,270582.0
District of Columbia,810.0,345956.05061728397,8811.561287592547,329701.0,338058.5,345736.5,353469.25,361856.0
Florida,810.0,3525966.4111111113,148694.90249745265,3200515.0,3419268.0,3526744.0,3635351.25,3852250.0
Georgia,810.0,1858819.5592592594,88912.17951161212,1663510.0,1795371.5,1859012.0,1922769.25,2054622.0
Hawaii,810.0,301177.5864197531,9658.292999507701,279790.0,294225.5,301033.0,308221.5,322252.0
Idaho,810.0,224043.4135802469,17283.50067335599,188701.0,210138.25,224484.0,237220.0,260244.0
Illinois,810.0,2613823.672839506,110313.92076780144,2371716.0,2528511.0,2613782.5,2692560.25,2857085.0
Indiana,810.0,962724.074074074,52674.23828079292,850661.0,923031.75,963180.5,1002491.0,1076389.0
Iowa,810.0,521032.5086419753,30241.78684568467,456494.0,497857.5,521332.5,543759.25,586254.0
Kansas,810.0,485152.1,28988.194702539873,423077.0,463125.75,485069.0,506769.0,547472.0
Kentucky,810.0,575626.5407407407,42612.9777009928,488646.0,541545.75,576136.5,607255.25,664183.0
Louisiana,810.0,722522.4913580247,34860.55662285,647256.0,697038.5,722796.0,747557.5,799158.0
Maine,810.0,324783.7160493827,14701.76229317283,291927.0,314128.25,324753.0,336384.0,357622.0
Maryland,810.0,1650914.2024691359,55083.359057447306,1532540.0,1609142.5,1650747.5,1692344.25,1768595.0
Massachusetts,810.0,1823572.6802469136,65754.87224221368,1682386.0,1774647.0,1822358.0,1872601.5,1963264.0
Michigan,810.0,2233202.814814815,91711.06355957797,2031156.0,2165864.0,2233397.5,2307576.0,2434920.0
Minnesota,810.0,1282184.8358024692,51526.16620829698,1168732.0,1242505.75,1282233.0,1322641.5,1397464.0
Mississippi,810.0,499242.65061728394,26285.295556820827,442193.0,479594.5,499084.5,518749.0,556535.0
Missouri,810.0,1174606.9864197532,53666.48398858428,1057143.0,1134821.5,1174836.0,1213009.0,1291855.0
Montana,810.0,176257.73209876544,10289.609058635886,154269.0,168808.75,176219.5,184085.25,198487.0
Nebraska,810.0,285221.63950617285,17055.961507788823,248377.0,272382.5,285331.5,297685.25,322118.0
Nevada,810.0,522599.9555555555,22569.53629292429,472338.0,506478.5,522754.5,539559.5,573043.0
New Hampshire,810.0,316643.9691358025,13020.390035352913,287657.0,306857.25,316536.0,326742.25,345639.0
New Jersey,810.0,1670369.1419753085,75601.41589223444,1502469.0,1615862.75,1670831.5,1730735.25,1837924.0
New Mexico,810.0,426164.23950617283,16062.550758353793,389782.0,413539.0,426173.5,437811.0,461896.0
New York,810.0,3735857.2432098766,140986.88018020752,3426250.0,3623927.5,3735204.0,3835860.0,4046290.0
North Carolina,810.0,1633795.2925925925,78056.12476886631,1462621.0,1578669.5,1634200.5,1690393.25,1805177.0
North Dakota,810.0,100923.07407407407,6987.892411730297,86217.0,95210.75,101011.5,106359.75,115909.0
Ohio,810.0,2108895.2358024693,87037.98623255818,1917157.0,2046698.5,2109409.0,2172441.0,2300777.0
Oklahoma,810.0,492555.27407407406,34927.35503179248,420548.0,464276.5,493229.5,518060.0,565580.0
Oregon,810.0,1140970.6308641976,51944.218935618155,1027165.0,1102794.0,1140231.5,1177640.75,1254541.0
Pennsylvania,810.0,2614907.7592592593,107543.46794038822,2379595.0,2539323.0,2615906.0,2699232.25,2852480.0
Rhode Island,810.0,262269.1271604938,11900.527065220267,235717.0,252979.5,262253.5,270856.0,289019.0
South Carolina,810.0,786992.0061728396,40217.60515199644,700554.0,757442.0,787160.0,816877.75,874398.0
South Dakota,810.0,135651.17777777778,8171.4640166875715,117813.0,129516.0,135699.0,141894.5,153542.0
Tennessee,810.0,1017111.5148148148,65414.53529623709,878582.0,969719.5,1018168.5,1066220.25,1158567.0
Texas,810.0,4460369.632098765,197424.0871235801,4029019.0,4320227.25,4460789.0,4604607.75,4894065.0
Utah,810.0,362278.1172839506,28174.04658772222,304549.0,339241.0,362887.0,384543.75,420820.0
Vermont,810.0,185930.5864197531,7304.827129873996,169760.0,180593.25,185873.0,191380.25,202118.0
Virginia,810.0,1728548.4185185186,70992.53462422804,1572181.0,1676049.75,1728881.5,1785653.25,1885730.0
Washington,810.0,1813805.6469135801,67298.79005226,1664831.0,1764560.0,1813650.5,1861934.25,1961229.0
West Virginia,810.0,190565.85925925925,16381.52167642097,157482.0,176893.5,190855.5,203938.25,224050.0
Wisconsin,810.0,1257818.3580246915,48372.16173487634,1150586.0,1221109.75,1257873.5,1296334.5,1365077.0
Wyoming,810.0,38762.09135802469,5478.891662845768,28564.0,34024.75,38935.5,43387.0,49022.0
