State,count,unique,top,freq
Alabama,389,1,Trump,389
Alaska,389,1,Trump,389
Arkansas,389,1,Trump,389
Idaho,389,1,Trump,389
Indiana,389,1,Trump,389
Iowa,389,1,Trump,389
Kansas,389,1,Trump,389
Kentucky,389,1,Trump,389
Louisiana,389,1,Trump,389
Mississippi,389,1,Trump,389
Missouri,389,1,Trump,389
Montana,389,1,Trump,389
Nebraska,389,1,Trump,389
North Dakota,389,1,Trump,389
Oklahoma,389,1,Trump,389
South Carolina,389,1,Trump,389
South Dakota,389,1,Trump,389
Tennessee,389,1,Trump,389
Utah,389,1,Trump,389
West Virginia,389,1,Trump,389
Wyoming,389,1,Trump,389
