State,count,mean,std,min,25%,50%,75%,max
Alabama,585.0,1147823.6871794872,35857.27308824419,1074852.0,1119705.0,1146480.0,1175504.0,1220993.0
Alaska,585.0,160809.39316239316,5270.699702642204,149472.0,156664.0,160600.0,165005.0,172548.0
Arizona,585.0,1417311.194871795,51314.848182631125,1310075.0,1374609.0,1417082.0,1451237.0,1526368.0
Arkansas,585.0,729605.5247863248,24678.010756205094,681186.0,707848.0,729031.0,750438.0,777223.0
California,585.0,4635528.38974359,245302.05197238267,4144391.0,4447359.0,4643340.0,4805284.0,5168596.0
Colorado,585.0,1064157.3435897436,45096.787518244004,971068.0,1031517.0,1062211.0,1097178.0,1162891.0
Connecticut,585.0,607340.8615384615,25098.103039700272,555190.0,589128.0,605941.0,625600.0,661764.0
Delaware,585.0,191989.42735042734,8829.239577237915,173587.0,185520.0,191579.0,198395.0,211417.0
District of Columbia,585.0,36540.442735042736,6925.337625953305,25266.0,30494.0,36613.0,42266.0,49983.0
Florida,585.0,3972094.6290598293,138706.74434178794,3685813.0,3853312.0,3971935.0,4068457.0,4264993.0
Georgia,585.0,2173771.4854700854,83145.06787557794,2001361.0,2101984.0,2174094.0,2232469.0,2349372.0
Hawaii,585.0,198095.79145299146,8515.098881591628,180531.0,192005.0,197566.0,203965.0,217243.0
Idaho,585.0,477176.0683760684,16743.645199003447,443344.0,463248.0,476899.0,491336.0,510120.0
Illinois,585.0,2034139.911111111,99195.57315807945,1829828.0,1963441.0,2030849.0,2106643.0,2249197.0
Indiana,585.0,1538466.2085470085,50512.30567729581,1433965.0,1498096.0,1537259.0,1577450.0,1640942.0
Iowa,585.0,803848.9863247863,28882.824664539865,745058.0,780749.0,802985.0,826209.0,863305.0
Kansas,585.0,726143.5521367522,27615.401189194607,669718.0,704734.0,725209.0,747857.0,783384.0
Kentucky,585.0,1200893.829059829,41308.0617453674,1119447.0,1166424.0,1200487.0,1236165.0,1282455.0
Louisiana,585.0,977131.8034188034,33025.72842498214,908270.0,950830.0,976264.0,1003103.0,1046024.0
Maine,585.0,328545.53504273505,13584.821015500005,300145.0,318154.0,328207.0,337853.0,358319.0
Maryland,585.0,868739.1384615385,47482.79219387828,773552.0,833190.0,870456.0,901922.0,972551.0
Massachusetts,585.0,927264.0615384616,56617.01169689136,814274.0,885090.0,927451.0,966479.0,1050190.0
Michigan,585.0,2206007.2871794873,84456.18380958059,2030448.0,2141411.0,2204522.0,2259849.0,2386525.0
Minnesota,585.0,1210047.9076923076,47218.408469640824,1111497.0,1175086.0,1208351.0,1241421.0,1311507.0
Mississippi,585.0,704535.947008547,25011.907606553374,653420.0,684766.0,703796.0,724302.0,755984.0
Missouri,585.0,1538570.3401709402,50783.65653880061,1432834.0,1497502.0,1538118.0,1578332.0,1643911.0
Montana,585.0,293685.8461538461,9856.38737603326,273221.0,285924.0,293678.0,301571.0,314262.0
Nebraska,585.0,426877.7658119658,16235.75014514394,393840.0,414150.0,426418.0,439595.0,460369.0
Nevada,585.0,578001.3487179488,21019.218649000464,534085.0,560832.0,577986.0,592547.0,623005.0
New Hampshire,585.0,298369.5829059829,11919.428750003904,273208.0,289712.0,298020.0,306742.0,324339.0
New Jersey,585.0,1689489.0222222223,69782.66286812915,1544244.0,1635287.0,1688223.0,1734649.0,1840144.0
New Mexico,585.0,359405.2324786325,14565.027114279492,328875.0,348592.0,358639.0,369844.0,391293.0
New York,585.0,3072624.2205128204,127368.3295144666,2809365.0,2978273.0,3065103.0,3164241.0,3347406.0
North Carolina,585.0,1867752.905982906,72761.51208477406,1718599.0,1805579.0,1867863.0,1918637.0,2022071.0
North Dakota,585.0,220348.55213675214,6819.1961542021945,206418.0,214536.0,220253.0,226111.0,233854.0
Ohio,585.0,2417006.47008547,81276.8600653453,2249271.0,2347704.0,2416780.0,2474261.0,2588403.0
Oklahoma,585.0,989757.9487179487,33825.96248735572,922620.0,961640.0,989068.0,1018337.0,1056928.0
Oregon,585.0,811270.8991452991,46371.21838731866,716324.0,777365.0,807850.0,843733.0,913607.0
Pennsylvania,585.0,2760695.728205128,99634.72510058677,2555174.0,2679647.0,2761260.0,2824538.0,2972129.0
Rhode Island,585.0,212828.24786324787,10733.618501642448,190523.0,205189.0,212187.0,220789.0,236600.0
South Carolina,585.0,1123195.8957264957,38240.8763707611,1045197.0,1093714.0,1122270.0,1152730.0,1202476.0
South Dakota,585.0,216061.66153846154,7820.212369127921,199649.0,209834.0,215878.0,222222.0,232223.0
Tennessee,585.0,1626880.6923076923,62568.25985507468,1499740.0,1576977.0,1624477.0,1675563.0,1754504.0
Texas,585.0,5052250.984615385,184168.1532627834,4673553.0,4895612.0,5052399.0,5179062.0,5440378.0
Utah,585.0,814270.4923076923,27387.356325258377,760095.0,790353.0,813546.0,837184.0,867455.0
Vermont,585.0,112527.35897435897,6397.991042332434,99455.0,107709.0,112114.0,117051.0,126869.0
Virginia,585.0,1707492.9076923076,65402.670709353464,1571356.0,1657150.0,1706078.0,1749172.0,1847549.0
Washington,585.0,1350204.6547008548,60130.316799725566,1226182.0,1307976.0,1345947.0,1394189.0,1481252.0
West Virginia,585.0,481471.9811965812,15948.247335253696,450102.0,467741.0,481135.0,494792.0,512360.0
Wisconsin,585.0,1216834.5042735043,44395.26531683057,1124121.0,1183398.0,1215868.0,1246001.0,1313042.0
Wyoming,585.0,171626.73333333334,5393.972904630724,161462.0,167095.0,171775.0,176210.0,181213.0
