State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Arizona,11,Trump,2848395,1433718,1304213,50.334,45.788,-4,-4
Arizona,11,Trump,2848660,1434752,1303136,50.366,45.746,-4,-4
Arizona,11,Trump,2847910,1434986,1302109,50.387,45.722,-4,-4
Arizona,11,Trump,2846513,1433821,1302162,50.371,45.746,-4,-4
Arizona,11,Trump,2848563,1435066,1302740,50.379,45.733,-4,-4
Arizona,11,Trump,2846290,1434734,1301092,50.407,45.712,-4,-4
Arizona,11,Trump,2848064,1434418,1303102,50.365,45.754,-4,-4
Arizona,11,Trump,2847884,1435153,1301992,50.394,45.718,-4,-4
Arizona,11,Trump,2847342,1435455,1301333,50.414,45.703,-4,-4
Arizona,11,Trump,2845564,1432425,1302137,50.339,45.76,-4,-4
Arizona,11,Trump,2846330,1418851,1318735,49.848,46.331,-4,-3
Arizona,11,Trump,2846783,1416625,1320981,49.762,46.403,-4,-3
Arizona,11,Trump,2847625,1416809,1321254,49.754,46.398,-4,-3
Arizona,11,Trump,2846009,1416266,1319845,49.763,46.375,-4,-3
Arizona,11,Trump,2846048,1418217,1318432,49.831,46.325,-4,-3
Arizona,11,Trump,2847147,1418483,1319292,49.821,46.337,-4,-3
Arizona,11,Trump,2847071,1417670,1319944,49.794,46.361,-4,-3
Arizona,11,Trump,2846459,1417331,1319548,49.793,46.358,-4,-3
Arizona,11,Trump,2847085,1417610,1320314,49.792,46.374,-4,-3
Arizona,11,Trump,2845616,1416439,1320051,49.776,46.389,-4,-3
Arizona,11,Trump,2846630,1400489,1337180,49.198,46.974,-4,-2
Arizona,11,Trump,2846344,1400889,1336984,49.217,46.972,-4,-2
Arizona,11,Trump,2846104,1401433,1336229,49.24,46.949,-4,-2
Arizona,11,Trump,2847127,1401437,1338176,49.223,47.001,-4,-2
Arizona,11,Trump,2847457,1401626,1337598,49.224,46.975,-4,-2
Arizona,11,Trump,2845582,1401488,1336399,49.251,46.964,-4,-2
Arizona,11,Trump,2847685,1402325,1337830,49.244,46.98,-4,-2
Arizona,11,Trump,2846741,1400476,1337133,49.196,46.971,-4,-2
Arizona,11,Trump,2847871,1402353,1337245,49.242,46.956,-4,-2
Arizona,11,Trump,2847188,1401211,1337640,49.214,46.981,-4,-2
Arizona,11,Trump,2845575,1384024,1354436,48.638,47.598,-4,-1
Arizona,11,Trump,2847237,1385284,1354920,48.654,47.587,-4,-1
Arizona,11,Trump,2846811,1384509,1354805,48.634,47.59,-4,-1
Arizona,11,Trump,2846042,1385916,1353417,48.696,47.554,-4,-1
Arizona,11,Trump,2846668,1384865,1354726,48.649,47.59,-4,-1
Arizona,11,Trump,2847757,1384560,1356088,48.619,47.62,-4,-1
Arizona,11,Trump,2848540,1386656,1354625,48.68,47.555,-4,-1
Arizona,11,Trump,2846559,1385303,1354509,48.666,47.584,-4,-1
Arizona,11,Trump,2846962,1385334,1354709,48.66,47.584,-4,-1
Arizona,11,Trump,2846204,1385288,1353736,48.671,47.563,-4,-1
Arizona,11,Trump,2847959,1371276,1370590,48.149,48.125,-4,0
Arizona,11,Trump,2846749,1371393,1369120,48.174,48.094,-4,0
Arizona,11,Trump,2846407,1370449,1369717,48.147,48.121,-4,0
Arizona,11,Biden,2848639,1371019,1371972,48.129,48.162,-4,0
Arizona,11,Trump,2848665,1372201,1370587,48.17,48.113,-4,0
Arizona,11,Trump,2846265,1370903,1369522,48.165,48.116,-4,0
Arizona,11,Trump,2847654,1371855,1369052,48.175,48.076,-4,0
Arizona,11,Biden,2847015,1370082,1370429,48.123,48.136,-4,0
Arizona,11,Biden,2847170,1370315,1370417,48.129,48.133,-4,0
Arizona,11,Trump,2846635,1370764,1370165,48.154,48.133,-4,0
Arizona,11,Biden,2846510,1355150,1386257,47.607,48.7,-4,1
Arizona,11,Biden,2847399,1355194,1387132,47.594,48.716,-4,1
Arizona,11,Biden,2847896,1356473,1386120,47.631,48.672,-4,1
Arizona,11,Biden,2847772,1356288,1386012,47.626,48.67,-4,1
Arizona,11,Biden,2846684,1354994,1386894,47.599,48.72,-4,1
Arizona,11,Biden,2847225,1353976,1388329,47.554,48.761,-4,1
Arizona,11,Biden,2846936,1355105,1387065,47.599,48.721,-4,1
Arizona,11,Biden,2847661,1355069,1387220,47.585,48.714,-4,1
Arizona,11,Biden,2846136,1355304,1386081,47.619,48.7,-4,1
Arizona,11,Biden,2847683,1354855,1387970,47.577,48.74,-4,1
Arizona,11,Biden,2845896,1339470,1402802,47.067,49.292,-4,2
Arizona,11,Biden,2845892,1339373,1402901,47.063,49.296,-4,2
Arizona,11,Biden,2848347,1341540,1403016,47.099,49.257,-4,2
Arizona,11,Biden,2846568,1339678,1403090,47.063,49.291,-4,2
Arizona,11,Biden,2847064,1341479,1401733,47.118,49.234,-4,2
Arizona,11,Biden,2847089,1341615,1401649,47.122,49.231,-4,2
Arizona,11,Biden,2846210,1341522,1401196,47.134,49.23,-4,2
Arizona,11,Biden,2848568,1342865,1402082,47.142,49.221,-4,2
Arizona,11,Biden,2846618,1341579,1401373,47.129,49.229,-4,2
Arizona,11,Biden,2846524,1340168,1402262,47.081,49.262,-4,2
Arizona,11,Biden,2847027,1328148,1416094,46.65,49.739,-4,3
Arizona,11,Biden,2847979,1327022,1417924,46.595,49.787,-4,3
Arizona,11,Biden,2847442,1327861,1416528,46.633,49.747,-4,3
Arizona,11,Biden,2846584,1327503,1415843,46.635,49.738,-4,3
Arizona,11,Biden,2846747,1325500,1418205,46.562,49.818,-4,3
Arizona,11,Biden,2847203,1327454,1417103,46.623,49.772,-4,3
Arizona,11,Biden,2847172,1326083,1418009,46.575,49.804,-4,3
Arizona,11,Biden,2847164,1324977,1418701,46.537,49.829,-4,3
Arizona,11,Biden,2847096,1328117,1416348,46.648,49.747,-4,3
Arizona,11,Biden,2847702,1324575,1420354,46.514,49.877,-4,3
Arizona,11,Biden,2847211,1313068,1432051,46.118,50.297,-4,4
Arizona,11,Biden,2847388,1311771,1433291,46.069,50.337,-4,4
Arizona,11,Biden,2846472,1310075,1433994,46.025,50.378,-4,4
Arizona,11,Biden,2847499,1312958,1431894,46.109,50.286,-4,4
Arizona,11,Biden,2848005,1312977,1432876,46.102,50.312,-4,4
Arizona,11,Biden,2846536,1311744,1432445,46.082,50.322,-4,4
Arizona,11,Biden,2846278,1312709,1431555,46.12,50.296,-4,4
Arizona,11,Biden,2846824,1311628,1432840,46.073,50.331,-4,4
Arizona,11,Biden,2848205,1312592,1433272,46.085,50.322,-4,4
Arizona,11,Biden,2847276,1312549,1432533,46.098,50.312,-4,4
Arizona,11,Trump,2847385,1449636,1288463,50.911,45.251,-3,-4
Arizona,11,Trump,2846960,1450344,1287423,50.944,45.221,-3,-4
Arizona,11,Trump,2846048,1450341,1286238,50.96,45.194,-3,-4
Arizona,11,Trump,2846209,1448767,1288122,50.902,45.257,-3,-4
Arizona,11,Trump,2847893,1449849,1288291,50.91,45.237,-3,-4
Arizona,11,Trump,2846489,1450342,1287457,50.952,45.23,-3,-4
Arizona,11,Trump,2846998,1449565,1287959,50.916,45.239,-3,-4
Arizona,11,Trump,2846943,1449875,1287507,50.927,45.224,-3,-4
Arizona,11,Trump,2847191,1451260,1286434,50.972,45.183,-3,-4
Arizona,11,Trump,2847363,1450252,1287808,50.933,45.228,-3,-4
Arizona,11,Trump,2846889,1433613,1305089,50.357,45.843,-3,-3
Arizona,11,Trump,2845992,1432753,1305326,50.343,45.865,-3,-3
Arizona,11,Trump,2845948,1432313,1305531,50.328,45.873,-3,-3
Arizona,11,Trump,2848088,1434633,1305341,50.372,45.832,-3,-3
Arizona,11,Trump,2846906,1433704,1304784,50.36,45.832,-3,-3
Arizona,11,Trump,2845926,1434246,1303226,50.396,45.793,-3,-3
Arizona,11,Trump,2846994,1432911,1305797,50.331,45.866,-3,-3
Arizona,11,Trump,2846515,1433587,1304390,50.363,45.824,-3,-3
Arizona,11,Trump,2846678,1434192,1304342,50.381,45.82,-3,-3
Arizona,11,Trump,2846649,1433591,1304827,50.361,45.837,-3,-3
Arizona,11,Trump,2847680,1416854,1323461,49.755,46.475,-3,-2
Arizona,11,Trump,2846743,1417709,1322183,49.801,46.445,-3,-2
Arizona,11,Trump,2846482,1416577,1322542,49.766,46.462,-3,-2
Arizona,11,Trump,2848060,1419307,1321933,49.834,46.415,-3,-2
Arizona,11,Trump,2847106,1416898,1323237,49.766,46.477,-3,-2
Arizona,11,Trump,2846421,1416351,1322804,49.759,46.473,-3,-2
Arizona,11,Trump,2846740,1415956,1323599,49.74,46.495,-3,-2
Arizona,11,Trump,2845950,1417724,1320915,49.815,46.414,-3,-2
Arizona,11,Trump,2846247,1416873,1322158,49.78,46.453,-3,-2
Arizona,11,Trump,2848052,1417848,1323106,49.783,46.457,-3,-2
Arizona,11,Trump,2847581,1402801,1337802,49.263,46.98,-3,-1
Arizona,11,Trump,2847014,1401966,1338707,49.243,47.021,-3,-1
Arizona,11,Trump,2846552,1402405,1338154,49.267,47.01,-3,-1
Arizona,11,Trump,2848173,1402434,1339737,49.24,47.038,-3,-1
Arizona,11,Trump,2847469,1401534,1340031,49.22,47.06,-3,-1
Arizona,11,Trump,2848123,1402198,1339771,49.232,47.04,-3,-1
Arizona,11,Trump,2847072,1402676,1338279,49.267,47.005,-3,-1
Arizona,11,Trump,2848686,1402157,1340742,49.221,47.065,-3,-1
Arizona,11,Trump,2847002,1401869,1339049,49.24,47.034,-3,-1
Arizona,11,Trump,2846807,1400518,1339971,49.196,47.069,-3,-1
Arizona,11,Trump,2846732,1385737,1356236,48.678,47.642,-3,0
Arizona,11,Trump,2846400,1386120,1355365,48.697,47.617,-3,0
Arizona,11,Trump,2848569,1388740,1355470,48.752,47.584,-3,0
Arizona,11,Trump,2848106,1387417,1355805,48.714,47.604,-3,0
Arizona,11,Trump,2846868,1386732,1355544,48.711,47.615,-3,0
Arizona,11,Trump,2847313,1386979,1354936,48.712,47.586,-3,0
Arizona,11,Trump,2847395,1387620,1355008,48.733,47.588,-3,0
Arizona,11,Trump,2846350,1385623,1355221,48.681,47.613,-3,0
Arizona,11,Trump,2847418,1387440,1355040,48.726,47.588,-3,0
Arizona,11,Trump,2847270,1386515,1356067,48.696,47.627,-3,0
Arizona,11,Biden,2846093,1370877,1371346,48.167,48.183,-3,1
Arizona,11,Biden,2847937,1370787,1372801,48.133,48.203,-3,1
Arizona,11,Biden,2846854,1371122,1371823,48.163,48.187,-3,1
Arizona,11,Biden,2847091,1370322,1372651,48.131,48.212,-3,1
Arizona,11,Trump,2846050,1370984,1370757,48.171,48.163,-3,1
Arizona,11,Biden,2847423,1371080,1371974,48.152,48.183,-3,1
Arizona,11,Biden,2846864,1371123,1371967,48.163,48.192,-3,1
Arizona,11,Biden,2848315,1371926,1372296,48.166,48.179,-3,1
Arizona,11,Trump,2846362,1372010,1370689,48.202,48.156,-3,1
Arizona,11,Trump,2848107,1372337,1371621,48.184,48.159,-3,1
Arizona,11,Biden,2846877,1356272,1387656,47.641,48.743,-3,2
Arizona,11,Biden,2847476,1356452,1387976,47.637,48.744,-3,2
Arizona,11,Biden,2845833,1355195,1387226,47.62,48.746,-3,2
Arizona,11,Biden,2846062,1357934,1385421,47.713,48.679,-3,2
Arizona,11,Biden,2846698,1354965,1388171,47.598,48.764,-3,2
Arizona,11,Biden,2847103,1356336,1387471,47.639,48.733,-3,2
Arizona,11,Biden,2846776,1357702,1386093,47.693,48.69,-3,2
Arizona,11,Biden,2846928,1355794,1388128,47.623,48.759,-3,2
Arizona,11,Biden,2846731,1357596,1385735,47.69,48.678,-3,2
Arizona,11,Biden,2846949,1356919,1387086,47.662,48.722,-3,2
Arizona,11,Biden,2847871,1343390,1402339,47.172,49.242,-3,3
Arizona,11,Biden,2846727,1342058,1402468,47.144,49.266,-3,3
Arizona,11,Biden,2846934,1342713,1402191,47.163,49.253,-3,3
Arizona,11,Biden,2847164,1341451,1403602,47.115,49.298,-3,3
Arizona,11,Biden,2848013,1342413,1403615,47.135,49.284,-3,3
Arizona,11,Biden,2846228,1341973,1403049,47.149,49.295,-3,3
Arizona,11,Biden,2848212,1344227,1401876,47.195,49.22,-3,3
Arizona,11,Biden,2847157,1341024,1404465,47.1,49.329,-3,3
Arizona,11,Biden,2847027,1342943,1402568,47.17,49.264,-3,3
Arizona,11,Biden,2846895,1343503,1401700,47.192,49.236,-3,3
Arizona,11,Biden,2847482,1329880,1416742,46.704,49.754,-3,4
Arizona,11,Biden,2849505,1329159,1419083,46.645,49.801,-3,4
Arizona,11,Biden,2846902,1329704,1416249,46.707,49.747,-3,4
Arizona,11,Biden,2847395,1329756,1417016,46.701,49.765,-3,4
Arizona,11,Biden,2848334,1326792,1420343,46.581,49.866,-3,4
Arizona,11,Biden,2847294,1328214,1417820,46.648,49.795,-3,4
Arizona,11,Biden,2847229,1328201,1418092,46.649,49.806,-3,4
Arizona,11,Biden,2846831,1327917,1417876,46.645,49.805,-3,4
Arizona,11,Biden,2846536,1327796,1417954,46.646,49.813,-3,4
Arizona,11,Biden,2846121,1328911,1416172,46.692,49.758,-3,4
Arizona,11,Trump,2846689,1467349,1271008,51.546,44.649,-2,-4
Arizona,11,Trump,2845911,1466326,1271413,51.524,44.675,-2,-4
Arizona,11,Trump,2846631,1465627,1272877,51.486,44.715,-2,-4
Arizona,11,Trump,2846822,1466033,1272829,51.497,44.711,-2,-4
Arizona,11,Trump,2846607,1466003,1272354,51.5,44.697,-2,-4
Arizona,11,Trump,2846568,1465319,1273524,51.477,44.739,-2,-4
Arizona,11,Trump,2845728,1465580,1271471,51.501,44.68,-2,-4
Arizona,11,Trump,2847366,1466363,1272476,51.499,44.69,-2,-4
Arizona,11,Trump,2848669,1466993,1273182,51.497,44.694,-2,-4
Arizona,11,Trump,2847394,1466894,1272245,51.517,44.681,-2,-4
Arizona,11,Trump,2847598,1450201,1290595,50.927,45.322,-2,-3
Arizona,11,Trump,2845511,1448699,1289743,50.912,45.326,-2,-3
Arizona,11,Trump,2847888,1450198,1291174,50.922,45.338,-2,-3
Arizona,11,Trump,2847053,1448812,1291101,50.888,45.349,-2,-3
Arizona,11,Trump,2846533,1449486,1290233,50.921,45.326,-2,-3
Arizona,11,Trump,2846003,1449442,1289132,50.929,45.296,-2,-3
Arizona,11,Trump,2846698,1450817,1289058,50.965,45.283,-2,-3
Arizona,11,Trump,2846785,1450603,1289174,50.956,45.285,-2,-3
Arizona,11,Trump,2847802,1450057,1290616,50.918,45.32,-2,-3
Arizona,11,Trump,2848484,1451237,1289361,50.948,45.265,-2,-3
Arizona,11,Trump,2847406,1432980,1308445,50.326,45.952,-2,-2
Arizona,11,Trump,2847185,1433653,1307317,50.353,45.916,-2,-2
Arizona,11,Trump,2846833,1433016,1307833,50.337,45.94,-2,-2
Arizona,11,Trump,2846193,1433825,1306281,50.377,45.896,-2,-2
Arizona,11,Trump,2847475,1434317,1307399,50.372,45.914,-2,-2
Arizona,11,Trump,2848024,1434796,1307139,50.379,45.896,-2,-2
Arizona,11,Trump,2847469,1434510,1306969,50.378,45.899,-2,-2
Arizona,11,Trump,2848012,1432727,1309336,50.306,45.974,-2,-2
Arizona,11,Trump,2846175,1434303,1305865,50.394,45.881,-2,-2
Arizona,11,Trump,2847378,1431941,1309397,50.29,45.986,-2,-2
Arizona,11,Trump,2846283,1416487,1324604,49.766,46.538,-2,-1
Arizona,11,Trump,2847357,1416608,1325273,49.752,46.544,-2,-1
Arizona,11,Trump,2846659,1417111,1324280,49.782,46.52,-2,-1
Arizona,11,Trump,2847159,1417349,1325002,49.781,46.538,-2,-1
Arizona,11,Trump,2845962,1415845,1325247,49.749,46.566,-2,-1
Arizona,11,Trump,2848698,1418317,1325619,49.788,46.534,-2,-1
Arizona,11,Trump,2848092,1418663,1324532,49.811,46.506,-2,-1
Arizona,11,Trump,2846295,1417645,1323627,49.807,46.504,-2,-1
Arizona,11,Trump,2847702,1419412,1322656,49.844,46.446,-2,-1
Arizona,11,Trump,2847631,1419701,1322972,49.856,46.459,-2,-1
Arizona,11,Trump,2846434,1402357,1340116,49.267,47.081,-2,0
Arizona,11,Trump,2847473,1403697,1339535,49.296,47.043,-2,0
Arizona,11,Trump,2847346,1401440,1342488,49.219,47.149,-2,0
Arizona,11,Trump,2848117,1402786,1341336,49.253,47.096,-2,0
Arizona,11,Trump,2847133,1403527,1339220,49.296,47.037,-2,0
Arizona,11,Trump,2846691,1402214,1340575,49.258,47.092,-2,0
Arizona,11,Trump,2848097,1402551,1340991,49.245,47.084,-2,0
Arizona,11,Trump,2846770,1401879,1340523,49.245,47.089,-2,0
Arizona,11,Trump,2847584,1402098,1341751,49.238,47.119,-2,0
Arizona,11,Trump,2845473,1401759,1339900,49.263,47.089,-2,0
Arizona,11,Trump,2848788,1388221,1357697,48.73,47.659,-2,1
Arizona,11,Trump,2846476,1387109,1356097,48.731,47.641,-2,1
Arizona,11,Trump,2848266,1386817,1358010,48.69,47.678,-2,1
Arizona,11,Trump,2846932,1386379,1357178,48.697,47.672,-2,1
Arizona,11,Trump,2847423,1387415,1356911,48.725,47.654,-2,1
Arizona,11,Trump,2847473,1387780,1356995,48.737,47.656,-2,1
Arizona,11,Trump,2847253,1387448,1356789,48.729,47.653,-2,1
Arizona,11,Trump,2846753,1386485,1357265,48.704,47.678,-2,1
Arizona,11,Trump,2846665,1387443,1356260,48.739,47.644,-2,1
Arizona,11,Trump,2845469,1388170,1354604,48.785,47.606,-2,1
Arizona,11,Biden,2847548,1372323,1373574,48.193,48.237,-2,2
Arizona,11,Trump,2847189,1374222,1371363,48.266,48.166,-2,2
Arizona,11,Trump,2845795,1372714,1371306,48.237,48.187,-2,2
Arizona,11,Biden,2847100,1372364,1373383,48.202,48.238,-2,2
Arizona,11,Biden,2847506,1371622,1374167,48.169,48.259,-2,2
Arizona,11,Trump,2847073,1372707,1372328,48.215,48.201,-2,2
Arizona,11,Trump,2846490,1373072,1371784,48.237,48.192,-2,2
Arizona,11,Biden,2846560,1372035,1372485,48.2,48.216,-2,2
Arizona,11,Biden,2848338,1371144,1375354,48.138,48.286,-2,2
Arizona,11,Trump,2847586,1373464,1372343,48.233,48.193,-2,2
Arizona,11,Biden,2847460,1358683,1387900,47.716,48.742,-2,3
Arizona,11,Biden,2846347,1358800,1386535,47.738,48.713,-2,3
Arizona,11,Biden,2847404,1359586,1386845,47.748,48.706,-2,3
Arizona,11,Biden,2847355,1359313,1386824,47.739,48.706,-2,3
Arizona,11,Biden,2847162,1357222,1388787,47.669,48.778,-2,3
Arizona,11,Biden,2847075,1357451,1388321,47.679,48.763,-2,3
Arizona,11,Biden,2848334,1356603,1390651,47.628,48.823,-2,3
Arizona,11,Biden,2845200,1356464,1387262,47.676,48.758,-2,3
Arizona,11,Biden,2845750,1358109,1386690,47.724,48.728,-2,3
Arizona,11,Biden,2847753,1358837,1388003,47.716,48.74,-2,3
Arizona,11,Biden,2845685,1343348,1402634,47.206,49.29,-2,4
Arizona,11,Biden,2846640,1342947,1403628,47.177,49.308,-2,4
Arizona,11,Biden,2847476,1343536,1403312,47.183,49.283,-2,4
Arizona,11,Biden,2846975,1344069,1403416,47.21,49.295,-2,4
Arizona,11,Biden,2848806,1344277,1404814,47.187,49.312,-2,4
Arizona,11,Biden,2847176,1344330,1402918,47.216,49.274,-2,4
Arizona,11,Biden,2845910,1343309,1402831,47.201,49.293,-2,4
Arizona,11,Biden,2845721,1345031,1400271,47.265,49.206,-2,4
Arizona,11,Biden,2847513,1343369,1404405,47.177,49.32,-2,4
Arizona,11,Biden,2847624,1343739,1403724,47.188,49.295,-2,4
Arizona,11,Trump,2846947,1481862,1257923,52.051,44.185,-1,-4
Arizona,11,Trump,2847320,1481472,1258305,52.03,44.193,-1,-4
Arizona,11,Trump,2846352,1479537,1259753,51.98,44.259,-1,-4
Arizona,11,Trump,2846428,1480439,1259100,52.01,44.234,-1,-4
