State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Indiana,11,Trump,2605583,1572209,931560,60.34,35.752,-4,-4
Indiana,11,Trump,2605659,1573828,929762,60.4,35.682,-4,-4
Indiana,11,Trump,2605698,1572735,930625,60.358,35.715,-4,-4
Indiana,11,Trump,2605905,1573075,930798,60.366,35.719,-4,-4
Indiana,11,Trump,2605732,1572961,930925,60.365,35.726,-4,-4
Indiana,11,Trump,2605035,1571334,931566,60.319,35.76,-4,-4
Indiana,11,Trump,2606807,1573756,931357,60.371,35.728,-4,-4
Indiana,11,Trump,2606110,1572071,932044,60.323,35.764,-4,-4
Indiana,11,Trump,2606006,1572591,931412,60.345,35.741,-4,-4
Indiana,11,Trump,2606011,1571765,931907,60.313,35.76,-4,-4
Indiana,11,Trump,2605743,1554338,950365,59.65,36.472,-4,-3
Indiana,11,Trump,2606791,1554757,950984,59.643,36.481,-4,-3
Indiana,11,Trump,2606145,1554706,949878,59.655,36.448,-4,-3
Indiana,11,Trump,2607498,1555343,950853,59.649,36.466,-4,-3
Indiana,11,Trump,2607534,1555515,950749,59.655,36.462,-4,-3
Indiana,11,Trump,2605370,1553251,950805,59.617,36.494,-4,-3
Indiana,11,Trump,2604993,1553828,949815,59.648,36.461,-4,-3
Indiana,11,Trump,2605532,1553622,950866,59.628,36.494,-4,-3
Indiana,11,Trump,2606107,1555281,950137,59.678,36.458,-4,-3
Indiana,11,Trump,2605192,1553836,950062,59.644,36.468,-4,-3
Indiana,11,Trump,2606882,1537899,968862,58.994,37.166,-4,-2
Indiana,11,Trump,2605230,1535421,969837,58.936,37.227,-4,-2
Indiana,11,Trump,2605464,1536712,968522,58.98,37.173,-4,-2
Indiana,11,Trump,2606793,1537470,970081,58.979,37.214,-4,-2
Indiana,11,Trump,2606211,1536330,969143,58.949,37.186,-4,-2
Indiana,11,Trump,2605260,1535798,969502,58.95,37.213,-4,-2
Indiana,11,Trump,2605165,1534538,970568,58.904,37.256,-4,-2
Indiana,11,Trump,2605481,1535567,969509,58.936,37.21,-4,-2
Indiana,11,Trump,2605762,1536077,969051,58.949,37.189,-4,-2
Indiana,11,Trump,2605401,1534445,970703,58.895,37.257,-4,-2
Indiana,11,Trump,2606666,1520058,987452,58.314,37.882,-4,-1
Indiana,11,Trump,2603804,1518013,986461,58.3,37.885,-4,-1
Indiana,11,Trump,2606118,1519489,987043,58.305,37.874,-4,-1
Indiana,11,Trump,2605927,1517961,988742,58.25,37.942,-4,-1
Indiana,11,Trump,2607416,1519884,988114,58.291,37.896,-4,-1
Indiana,11,Trump,2605808,1518456,988039,58.272,37.917,-4,-1
Indiana,11,Trump,2604971,1517751,988063,58.264,37.93,-4,-1
Indiana,11,Trump,2605454,1518859,987492,58.295,37.901,-4,-1
Indiana,11,Trump,2607219,1521113,986840,58.342,37.85,-4,-1
Indiana,11,Trump,2605294,1518843,987453,58.298,37.902,-4,-1
Indiana,11,Trump,2606420,1503451,1005427,57.683,38.575,-4,0
