State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Maine,4,Trump,684148,331561,323213,48.463,47.243,-4,-4
Maine,4,Trump,684621,331554,323631,48.429,47.272,-4,-4
Maine,4,Trump,684473,332459,322807,48.572,47.161,-4,-4
Maine,4,Trump,684872,333468,322177,48.691,47.042,-4,-4
Maine,4,Trump,684365,332295,322632,48.555,47.143,-4,-4
Maine,4,Trump,684916,332329,323319,48.521,47.206,-4,-4
Maine,4,Trump,684424,331933,323083,48.498,47.205,-4,-4
Maine,4,Trump,683925,331558,322886,48.479,47.211,-4,-4
Maine,4,Trump,684652,331786,323168,48.461,47.202,-4,-4
Maine,4,Trump,685052,332480,322972,48.534,47.146,-4,-4
Maine,4,Trump,684550,327705,327568,47.872,47.852,-4,-3
Maine,4,Trump,684268,327890,327319,47.918,47.835,-4,-3
Maine,4,Biden,683887,327111,327896,47.831,47.946,-4,-3
Maine,4,Biden,684634,327618,327973,47.853,47.905,-4,-3
Maine,4,Biden,684197,327404,327838,47.852,47.916,-4,-3
Maine,4,Trump,684312,327793,327447,47.901,47.851,-4,-3
Maine,4,Trump,684167,327991,326910,47.94,47.782,-4,-3
Maine,4,Biden,684906,327419,328640,47.805,47.983,-4,-3
Maine,4,Trump,684991,327947,327582,47.876,47.823,-4,-3
Maine,4,Biden,684864,327718,327990,47.852,47.891,-4,-3
Maine,4,Biden,684252,324152,331564,47.373,48.456,-4,-2
Maine,4,Biden,685011,323763,332289,47.264,48.509,-4,-2
Maine,4,Biden,684957,323800,332673,47.273,48.568,-4,-2
Maine,4,Biden,684192,323660,331944,47.305,48.516,-4,-2
Maine,4,Biden,684835,323684,332422,47.265,48.54,-4,-2
Maine,4,Biden,684220,323251,332347,47.244,48.573,-4,-2
Maine,4,Biden,684750,323306,332750,47.215,48.594,-4,-2
Maine,4,Biden,684584,323389,332071,47.239,48.507,-4,-2
Maine,4,Biden,684760,324777,331225,47.429,48.371,-4,-2
Maine,4,Biden,684621,323368,332535,47.233,48.572,-4,-2
Maine,4,Biden,684110,319576,336348,46.714,49.166,-4,-1
Maine,4,Biden,684657,319811,336387,46.711,49.132,-4,-1
Maine,4,Biden,684817,319780,336692,46.696,49.165,-4,-1
Maine,4,Biden,684558,319548,336679,46.679,49.182,-4,-1
Maine,4,Biden,684702,319449,336968,46.655,49.214,-4,-1
Maine,4,Biden,685314,319943,337192,46.686,49.203,-4,-1
Maine,4,Biden,684966,319223,337389,46.604,49.256,-4,-1
Maine,4,Biden,684440,319510,336320,46.682,49.138,-4,-1
Maine,4,Biden,684601,319245,336705,46.632,49.183,-4,-1
Maine,4,Biden,684408,319555,336392,46.691,49.151,-4,-1
Maine,4,Biden,684021,315535,340371,46.129,49.76,-4,0
Maine,4,Biden,684439,315328,340914,46.071,49.809,-4,0
Maine,4,Biden,684763,315354,341415,46.053,49.859,-4,0
Maine,4,Biden,684537,316053,340212,46.17,49.7,-4,0
Maine,4,Biden,684606,315243,341035,46.047,49.815,-4,0
Maine,4,Biden,684581,314864,341555,45.994,49.893,-4,0
Maine,4,Biden,684402,315782,340773,46.14,49.791,-4,0
Maine,4,Biden,684440,315144,341131,46.044,49.841,-4,0
Maine,4,Biden,684928,316399,340758,46.194,49.751,-4,0
Maine,4,Biden,684667,315093,341428,46.021,49.868,-4,0
Maine,4,Biden,684630,312064,344727,45.581,50.352,-4,1
Maine,4,Biden,684460,312116,344739,45.6,50.367,-4,1
Maine,4,Biden,684747,311192,345695,45.446,50.485,-4,1
Maine,4,Biden,684300,311269,345229,45.487,50.45,-4,1
Maine,4,Biden,685112,311999,345512,45.54,50.431,-4,1
Maine,4,Biden,684503,311873,344925,45.562,50.391,-4,1
Maine,4,Biden,683966,311143,344876,45.491,50.423,-4,1
Maine,4,Biden,684263,311984,344479,45.594,50.343,-4,1
Maine,4,Biden,683921,311398,344909,45.531,50.431,-4,1
Maine,4,Biden,684684,311064,345693,45.432,50.489,-4,1
Maine,4,Biden,684334,308702,348512,45.11,50.927,-4,2
Maine,4,Biden,684274,307921,348792,45.0,50.973,-4,2
Maine,4,Biden,684826,307722,349589,44.934,51.048,-4,2
Maine,4,Biden,684756,308117,349291,44.997,51.01,-4,2
Maine,4,Biden,684924,308000,349622,44.968,51.045,-4,2
Maine,4,Biden,685138,308555,348955,45.035,50.932,-4,2
Maine,4,Biden,684297,308283,348485,45.051,50.926,-4,2
Maine,4,Biden,684542,308362,348529,45.046,50.914,-4,2
Maine,4,Biden,684239,308239,348732,45.048,50.966,-4,2
Maine,4,Biden,684422,308119,348747,45.019,50.955,-4,2
Maine,4,Biden,684262,304590,352652,44.514,51.538,-4,3
Maine,4,Biden,684141,304021,353059,44.438,51.606,-4,3
Maine,4,Biden,684577,304357,352698,44.459,51.521,-4,3
Maine,4,Biden,684433,303667,353538,44.368,51.654,-4,3
Maine,4,Biden,684491,304743,352762,44.521,51.536,-4,3
Maine,4,Biden,684444,304306,352958,44.46,51.569,-4,3
Maine,4,Biden,684597,305124,352631,44.57,51.509,-4,3
Maine,4,Biden,684788,304249,353309,44.43,51.594,-4,3
Maine,4,Biden,684049,304743,352595,44.55,51.545,-4,3
Maine,4,Biden,683437,303831,352509,44.456,51.579,-4,3
Maine,4,Biden,684432,300733,356967,43.939,52.155,-4,4
Maine,4,Biden,684004,300709,356470,43.963,52.115,-4,4
Maine,4,Biden,684417,300145,357622,43.854,52.252,-4,4
Maine,4,Biden,684681,300971,356680,43.958,52.094,-4,4
Maine,4,Biden,684684,301242,356465,43.997,52.063,-4,4
Maine,4,Biden,684869,300241,357523,43.839,52.203,-4,4
Maine,4,Biden,684246,300497,357025,43.917,52.178,-4,4
Maine,4,Biden,684650,300750,357107,43.928,52.159,-4,4
Maine,4,Biden,684290,300418,356889,43.902,52.155,-4,4
Maine,4,Biden,684368,301088,356737,43.995,52.126,-4,4
Maine,4,Trump,684943,336868,319133,49.182,46.593,-3,-4
Maine,4,Trump,684739,336459,319220,49.137,46.619,-3,-4
Maine,4,Trump,684503,336162,319234,49.11,46.637,-3,-4
Maine,4,Trump,684316,337117,318258,49.263,46.507,-3,-4
Maine,4,Trump,683978,336541,318219,49.203,46.525,-3,-4
Maine,4,Trump,684868,336614,319262,49.15,46.617,-3,-4
Maine,4,Trump,684074,335991,318936,49.116,46.623,-3,-4
Maine,4,Trump,684474,335973,319636,49.085,46.698,-3,-4
Maine,4,Trump,684073,336320,318533,49.164,46.564,-3,-4
Maine,4,Trump,684666,336414,319037,49.135,46.597,-3,-4
Maine,4,Trump,684401,332726,323017,48.616,47.197,-3,-3
Maine,4,Trump,685326,332807,323871,48.562,47.258,-3,-3
Maine,4,Trump,684954,332739,323499,48.578,47.229,-3,-3
Maine,4,Trump,685040,333159,323309,48.634,47.196,-3,-3
Maine,4,Trump,684378,332281,323543,48.552,47.275,-3,-3
Maine,4,Trump,683963,332309,322819,48.586,47.198,-3,-3
Maine,4,Trump,684624,331265,324773,48.386,47.438,-3,-3
Maine,4,Trump,683774,332237,322930,48.589,47.228,-3,-3
Maine,4,Trump,684552,332185,323632,48.526,47.276,-3,-3
Maine,4,Trump,684584,332277,323406,48.537,47.241,-3,-3
Maine,4,Trump,684516,328488,327625,47.988,47.862,-3,-2
Maine,4,Biden,684784,327904,328516,47.884,47.974,-3,-2
Maine,4,Trump,684911,328675,327800,47.988,47.86,-3,-2
Maine,4,Trump,684327,328080,327774,47.942,47.897,-3,-2
Maine,4,Biden,684512,327539,328320,47.85,47.964,-3,-2
Maine,4,Trump,683945,327962,327599,47.952,47.898,-3,-2
Maine,4,Biden,684166,326798,329035,47.766,48.093,-3,-2
Maine,4,Biden,684869,328241,328286,47.928,47.934,-3,-2
Maine,4,Trump,684758,328880,327372,48.029,47.808,-3,-2
Maine,4,Biden,685011,327950,328901,47.875,48.014,-3,-2
Maine,4,Biden,684617,323708,332906,47.283,48.627,-3,-1
Maine,4,Biden,683905,323467,332530,47.297,48.622,-3,-1
Maine,4,Biden,684873,324147,332727,47.33,48.582,-3,-1
Maine,4,Biden,684908,324603,332116,47.394,48.491,-3,-1
Maine,4,Biden,684744,323896,332730,47.302,48.592,-3,-1
Maine,4,Biden,684105,323467,332513,47.283,48.606,-3,-1
Maine,4,Biden,683951,323159,332618,47.249,48.632,-3,-1
Maine,4,Biden,684393,323517,332850,47.271,48.634,-3,-1
Maine,4,Biden,684621,324033,332643,47.33,48.588,-3,-1
Maine,4,Biden,683782,323652,332280,47.333,48.594,-3,-1
Maine,4,Biden,684998,320548,336746,46.795,49.16,-3,0
Maine,4,Biden,684674,319809,337001,46.71,49.221,-3,0
Maine,4,Biden,684683,319282,337439,46.632,49.284,-3,0
Maine,4,Biden,684569,320552,336215,46.825,49.113,-3,0
Maine,4,Biden,684185,319413,336939,46.685,49.247,-3,0
Maine,4,Biden,684072,319584,336707,46.718,49.221,-3,0
Maine,4,Biden,684603,320355,336474,46.794,49.149,-3,0
Maine,4,Biden,684715,320909,336018,46.868,49.074,-3,0
Maine,4,Biden,684196,320286,336434,46.812,49.172,-3,0
Maine,4,Biden,685093,320130,337157,46.728,49.213,-3,0
Maine,4,Biden,684524,316364,341167,46.217,49.84,-3,1
Maine,4,Biden,683979,316033,340303,46.205,49.753,-3,1
Maine,4,Biden,684212,315896,341027,46.169,49.842,-3,1
Maine,4,Biden,684558,316630,340390,46.253,49.724,-3,1
Maine,4,Biden,684825,316796,340559,46.259,49.729,-3,1
Maine,4,Biden,684665,315643,341713,46.102,49.91,-3,1
Maine,4,Biden,684855,316685,340784,46.241,49.76,-3,1
Maine,4,Biden,684210,315879,340971,46.167,49.834,-3,1
Maine,4,Biden,684047,315971,340338,46.191,49.754,-3,1
Maine,4,Biden,684540,316224,340844,46.195,49.792,-3,1
Maine,4,Biden,684530,311582,345612,45.518,50.489,-3,2
Maine,4,Biden,684575,312405,344751,45.635,50.36,-3,2
Maine,4,Biden,684718,312603,344817,45.654,50.359,-3,2
Maine,4,Biden,684897,313315,344547,45.746,50.306,-3,2
Maine,4,Biden,684527,313087,344279,45.738,50.294,-3,2
Maine,4,Biden,684128,311808,345281,45.577,50.47,-3,2
Maine,4,Biden,684260,311635,345479,45.543,50.489,-3,2
Maine,4,Biden,684199,312071,344685,45.611,50.378,-3,2
Maine,4,Biden,684450,312112,345082,45.6,50.417,-3,2
Maine,4,Biden,685291,312448,345661,45.593,50.44,-3,2
Maine,4,Biden,684626,308611,349317,45.077,51.023,-3,3
Maine,4,Biden,684877,309008,348769,45.119,50.924,-3,3
Maine,4,Biden,684646,308915,348820,45.12,50.949,-3,3
Maine,4,Biden,685316,309665,348834,45.186,50.901,-3,3
Maine,4,Biden,684345,309334,347947,45.201,50.844,-3,3
Maine,4,Biden,684527,308369,349327,45.048,51.032,-3,3
Maine,4,Biden,684577,308785,348929,45.106,50.97,-3,3
Maine,4,Biden,684396,309095,348439,45.163,50.912,-3,3
Maine,4,Biden,684321,308831,348756,45.13,50.964,-3,3
Maine,4,Biden,684099,308966,348336,45.164,50.919,-3,3
Maine,4,Biden,684175,304923,352359,44.568,51.501,-3,4
Maine,4,Biden,684375,305088,352660,44.579,51.53,-3,4
Maine,4,Biden,684639,304885,353302,44.532,51.604,-3,4
Maine,4,Biden,684970,305734,352540,44.635,51.468,-3,4
Maine,4,Biden,684973,305123,353303,44.545,51.579,-3,4
Maine,4,Biden,685436,305811,353135,44.616,51.52,-3,4
Maine,4,Biden,684149,304967,352682,44.576,51.55,-3,4
Maine,4,Biden,684750,305020,352970,44.545,51.547,-3,4
Maine,4,Biden,684437,304035,353668,44.421,51.673,-3,4
Maine,4,Biden,684729,305021,353357,44.546,51.605,-3,4
Maine,4,Trump,684684,340544,315631,49.737,46.099,-2,-4
Maine,4,Trump,684663,341118,315196,49.823,46.037,-2,-4
Maine,4,Trump,684492,341429,314536,49.881,45.952,-2,-4
Maine,4,Trump,684361,340264,315429,49.72,46.091,-2,-4
Maine,4,Trump,684253,341155,314480,49.858,45.96,-2,-4
Maine,4,Trump,685088,340748,315514,49.738,46.055,-2,-4
Maine,4,Trump,685050,341124,314892,49.795,45.966,-2,-4
Maine,4,Trump,684367,340827,314734,49.802,45.989,-2,-4
Maine,4,Trump,684384,340798,314661,49.796,45.977,-2,-4
Maine,4,Trump,684039,340645,314799,49.799,46.021,-2,-4
Maine,4,Trump,685386,337396,319747,49.227,46.652,-2,-3
Maine,4,Trump,685582,337578,319854,49.24,46.654,-2,-3
Maine,4,Trump,684644,336072,319963,49.087,46.734,-2,-3
Maine,4,Trump,684256,336273,319710,49.144,46.724,-2,-3
Maine,4,Trump,683911,335940,319435,49.12,46.707,-2,-3
Maine,4,Trump,684495,336017,320352,49.09,46.801,-2,-3
Maine,4,Trump,685207,337249,319636,49.219,46.648,-2,-3
Maine,4,Trump,684709,336381,319952,49.128,46.728,-2,-3
Maine,4,Trump,684544,336837,319507,49.206,46.674,-2,-3
Maine,4,Trump,685110,337319,319358,49.236,46.614,-2,-3
Maine,4,Trump,685018,332577,324290,48.55,47.34,-2,-2
