State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
Montana,4,Trump,489831,300197,169663,61.286,34.637,-4,-4
Montana,4,Trump,490493,300800,169772,61.326,34.613,-4,-4
Montana,4,Trump,490189,300304,169914,61.263,34.663,-4,-4
Montana,4,Trump,489780,300703,169010,61.396,34.507,-4,-4
Montana,4,Trump,490079,301217,168977,61.463,34.48,-4,-4
Montana,4,Trump,490337,301006,169550,61.388,34.578,-4,-4
Montana,4,Trump,490599,300893,169745,61.332,34.6,-4,-4
Montana,4,Trump,490083,300396,169917,61.295,34.671,-4,-4
Montana,4,Trump,490419,300648,169612,61.304,34.585,-4,-4
Montana,4,Trump,490585,301507,169145,61.459,34.478,-4,-4
Montana,4,Trump,489740,296521,173469,60.547,35.421,-4,-3
Montana,4,Trump,490442,297398,173326,60.639,35.341,-4,-3
Montana,4,Trump,490240,296997,173449,60.582,35.38,-4,-3
Montana,4,Trump,490497,297820,172825,60.718,35.235,-4,-3
Montana,4,Trump,490138,296683,173647,60.531,35.428,-4,-3
Montana,4,Trump,490311,296962,173736,60.566,35.434,-4,-3
Montana,4,Trump,490133,296729,173790,60.541,35.458,-4,-3
Montana,4,Trump,491068,297395,174191,60.561,35.472,-4,-3
Montana,4,Trump,490537,297204,173686,60.587,35.407,-4,-3
Montana,4,Trump,490452,297164,173570,60.59,35.39,-4,-3
Montana,4,Trump,490174,293728,177014,59.923,36.112,-4,-2
Montana,4,Trump,490368,293428,177401,59.838,36.177,-4,-2
Montana,4,Trump,490072,293298,177402,59.848,36.199,-4,-2
Montana,4,Trump,490170,293517,177179,59.881,36.146,-4,-2
Montana,4,Trump,490585,293789,177233,59.885,36.127,-4,-2
Montana,4,Trump,490521,294073,177161,59.951,36.117,-4,-2
Montana,4,Trump,489621,293521,176689,59.949,36.087,-4,-2
Montana,4,Trump,490362,293678,177259,59.89,36.149,-4,-2
Montana,4,Trump,490147,293881,176939,59.958,36.099,-4,-2
Montana,4,Trump,489973,293842,176752,59.971,36.074,-4,-2
Montana,4,Trump,490041,290080,180745,59.195,36.884,-4,-1
Montana,4,Trump,490233,290195,180893,59.195,36.899,-4,-1
Montana,4,Trump,490178,290354,180593,59.234,36.842,-4,-1
Montana,4,Trump,490426,290179,181299,59.169,36.968,-4,-1
Montana,4,Trump,489854,289781,180748,59.157,36.898,-4,-1
Montana,4,Trump,490306,290020,181137,59.151,36.944,-4,-1
Montana,4,Trump,489942,290239,180706,59.239,36.883,-4,-1
Montana,4,Trump,490520,290644,180760,59.252,36.851,-4,-1
Montana,4,Trump,490600,290371,180672,59.187,36.827,-4,-1
Montana,4,Trump,489672,289762,180752,59.175,36.913,-4,-1
Montana,4,Trump,490011,286783,184360,58.526,37.624,-4,0
Montana,4,Trump,490170,286110,185117,58.37,37.766,-4,0
Montana,4,Trump,489752,286683,184239,58.536,37.619,-4,0
Montana,4,Trump,490206,286665,184625,58.478,37.663,-4,0
Montana,4,Trump,489633,286337,184255,58.48,37.631,-4,0
Montana,4,Trump,490282,286661,184534,58.469,37.638,-4,0
Montana,4,Trump,490817,286749,185077,58.423,37.708,-4,0
Montana,4,Trump,490740,287509,184233,58.587,37.542,-4,0
Montana,4,Trump,489732,286503,184232,58.502,37.619,-4,0
Montana,4,Trump,489657,286172,184641,58.443,37.708,-4,0
Montana,4,Trump,489732,283957,187029,57.982,38.19,-4,1
Montana,4,Trump,490053,283415,187676,57.834,38.297,-4,1
Montana,4,Trump,490312,283056,188301,57.73,38.404,-4,1
Montana,4,Trump,490300,282959,188720,57.711,38.491,-4,1
Montana,4,Trump,489802,283585,187636,57.898,38.309,-4,1
Montana,4,Trump,489780,283277,187693,57.838,38.322,-4,1
Montana,4,Trump,490470,283541,188190,57.81,38.369,-4,1
Montana,4,Trump,490076,283914,187349,57.933,38.229,-4,1
Montana,4,Trump,490927,283516,188654,57.751,38.428,-4,1
Montana,4,Trump,490382,283644,187832,57.841,38.303,-4,1
Montana,4,Trump,490824,280816,191393,57.213,38.994,-4,2
Montana,4,Trump,489957,279850,191434,57.117,39.072,-4,2
Montana,4,Trump,490495,280472,191150,57.181,38.971,-4,2
Montana,4,Trump,490357,280467,191273,57.196,39.007,-4,2
Montana,4,Trump,490719,280416,191698,57.144,39.065,-4,2
Montana,4,Trump,490371,280700,190972,57.242,38.944,-4,2
Montana,4,Trump,489654,279986,190902,57.18,38.987,-4,2
Montana,4,Trump,490244,279743,191972,57.062,39.158,-4,2
Montana,4,Trump,490231,279737,191820,57.062,39.128,-4,2
Montana,4,Trump,490743,280367,191807,57.131,39.085,-4,2
Montana,4,Trump,490547,277141,194966,56.496,39.745,-4,3
Montana,4,Trump,489972,276816,194743,56.496,39.746,-4,3
Montana,4,Trump,490182,277501,194336,56.612,39.646,-4,3
Montana,4,Trump,490209,277586,194294,56.626,39.635,-4,3
Montana,4,Trump,490564,277039,195008,56.474,39.752,-4,3
Montana,4,Trump,490185,276559,195040,56.419,39.789,-4,3
Montana,4,Trump,489741,277070,194392,56.575,39.693,-4,3
Montana,4,Trump,490290,277395,194516,56.578,39.674,-4,3
Montana,4,Trump,490486,277368,194421,56.55,39.638,-4,3
Montana,4,Trump,490312,277159,194789,56.527,39.728,-4,3
Montana,4,Trump,490052,273814,198109,55.874,40.426,-4,4
Montana,4,Trump,490605,273814,198487,55.811,40.458,-4,4
Montana,4,Trump,490042,273812,198053,55.875,40.416,-4,4
Montana,4,Trump,490684,274141,198332,55.869,40.419,-4,4
Montana,4,Trump,490204,273849,197997,55.864,40.391,-4,4
Montana,4,Trump,490237,274118,197818,55.915,40.352,-4,4
Montana,4,Trump,489860,273336,198260,55.799,40.473,-4,4
Montana,4,Trump,489982,273221,198281,55.761,40.467,-4,4
Montana,4,Trump,490119,273726,198006,55.849,40.4,-4,4
Montana,4,Trump,489989,273582,198158,55.834,40.441,-4,4
Montana,4,Trump,489905,302594,167760,61.766,34.243,-3,-4
Montana,4,Trump,490704,303250,167805,61.799,34.197,-3,-4
Montana,4,Trump,490523,303410,167687,61.854,34.185,-3,-4
Montana,4,Trump,490841,303175,168014,61.766,34.23,-3,-4
Montana,4,Trump,489943,302856,167379,61.815,34.163,-3,-4
Montana,4,Trump,490349,303153,167435,61.824,34.146,-3,-4
Montana,4,Trump,490251,302758,167687,61.756,34.204,-3,-4
Montana,4,Trump,490238,302932,167800,61.793,34.228,-3,-4
Montana,4,Trump,490313,303020,167588,61.801,34.18,-3,-4
Montana,4,Trump,490294,301897,168660,61.575,34.4,-3,-4
Montana,4,Trump,489741,299161,171411,61.086,35.0,-3,-3
Montana,4,Trump,490138,299488,171409,61.103,34.972,-3,-3
Montana,4,Trump,489705,298624,171709,60.98,35.064,-3,-3
Montana,4,Trump,489666,299029,171541,61.068,35.032,-3,-3
Montana,4,Trump,490890,299641,171878,61.04,35.014,-3,-3
Montana,4,Trump,490105,298593,171848,60.924,35.064,-3,-3
Montana,4,Trump,490285,299234,171728,61.033,35.026,-3,-3
Montana,4,Trump,490444,299710,171459,61.11,34.96,-3,-3
Montana,4,Trump,490162,298866,172063,60.973,35.103,-3,-3
Montana,4,Trump,490743,299050,172360,60.938,35.122,-3,-3
Montana,4,Trump,490722,295558,175814,60.229,35.828,-3,-2
Montana,4,Trump,490007,295927,174921,60.392,35.698,-3,-2
Montana,4,Trump,490549,296454,174740,60.433,35.621,-3,-2
Montana,4,Trump,490891,295686,175887,60.235,35.83,-3,-2
Montana,4,Trump,490503,295995,175056,60.345,35.689,-3,-2
Montana,4,Trump,490198,295668,175131,60.316,35.727,-3,-2
Montana,4,Trump,490633,295610,175464,60.251,35.763,-3,-2
