State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
New Mexico,5,Biden,821123,361262,427294,43.996,52.038,-4,-4
New Mexico,5,Biden,820699,360076,428272,43.874,52.184,-4,-4
New Mexico,5,Biden,820178,360141,427716,43.91,52.149,-4,-4
New Mexico,5,Biden,820895,360792,427758,43.951,52.109,-4,-4
New Mexico,5,Biden,821113,360653,428261,43.922,52.156,-4,-4
New Mexico,5,Biden,820189,361123,427064,44.029,52.069,-4,-4
New Mexico,5,Biden,820087,360772,427155,43.992,52.087,-4,-4
New Mexico,5,Biden,820995,360890,427789,43.958,52.106,-4,-4
New Mexico,5,Biden,820995,360717,428404,43.937,52.181,-4,-4
New Mexico,5,Biden,820756,360556,427722,43.93,52.113,-4,-4
New Mexico,5,Biden,820175,355870,432496,43.39,52.732,-4,-3
New Mexico,5,Biden,820436,356312,432447,43.43,52.709,-4,-3
New Mexico,5,Biden,820497,356581,432224,43.459,52.678,-4,-3
New Mexico,5,Biden,820678,356347,432213,43.421,52.665,-4,-3
New Mexico,5,Biden,820631,356317,432585,43.42,52.714,-4,-3
New Mexico,5,Biden,820083,356144,431950,43.428,52.671,-4,-3
New Mexico,5,Biden,821012,356182,433139,43.383,52.757,-4,-3
New Mexico,5,Biden,820516,356191,432632,43.411,52.727,-4,-3
New Mexico,5,Biden,820334,356396,432276,43.445,52.695,-4,-3
New Mexico,5,Biden,820873,355267,433777,43.279,52.843,-4,-3
New Mexico,5,Biden,820363,352723,436105,42.996,53.16,-4,-2
New Mexico,5,Biden,820391,352096,436615,42.918,53.22,-4,-2
New Mexico,5,Biden,820377,351869,436701,42.891,53.232,-4,-2
New Mexico,5,Biden,820691,352645,436540,42.969,53.192,-4,-2
New Mexico,5,Biden,821225,352857,436674,42.967,53.173,-4,-2
New Mexico,5,Biden,820933,352290,437053,42.913,53.239,-4,-2
New Mexico,5,Biden,819874,352063,436244,42.941,53.209,-4,-2
New Mexico,5,Biden,820672,352891,436011,43.0,53.129,-4,-2
New Mexico,5,Biden,820532,351954,437038,42.893,53.263,-4,-2
New Mexico,5,Biden,820956,352490,436618,42.937,53.184,-4,-2
New Mexico,5,Biden,820075,348178,440656,42.457,53.734,-4,-1
New Mexico,5,Biden,820424,348592,440494,42.489,53.691,-4,-1
New Mexico,5,Biden,820658,348339,441175,42.446,53.759,-4,-1
New Mexico,5,Biden,820158,347602,441196,42.382,53.794,-4,-1
New Mexico,5,Biden,820071,347887,440805,42.422,53.752,-4,-1
New Mexico,5,Biden,820420,347470,441792,42.353,53.849,-4,-1
New Mexico,5,Biden,820393,348129,441189,42.434,53.778,-4,-1
New Mexico,5,Biden,820392,347888,441224,42.405,53.782,-4,-1
New Mexico,5,Biden,820576,347776,441720,42.382,53.83,-4,-1
New Mexico,5,Biden,820770,347849,441467,42.381,53.787,-4,-1
New Mexico,5,Biden,821129,344394,445823,41.942,54.294,-4,0
New Mexico,5,Biden,820951,344685,445478,41.986,54.264,-4,0
New Mexico,5,Biden,821087,344541,445839,41.962,54.299,-4,0
New Mexico,5,Biden,820737,344925,444763,42.026,54.191,-4,0
New Mexico,5,Biden,820619,344891,445030,42.028,54.231,-4,0
New Mexico,5,Biden,820213,344411,445026,41.99,54.257,-4,0
New Mexico,5,Biden,820815,344603,445144,41.983,54.232,-4,0
New Mexico,5,Biden,820768,344546,445207,41.978,54.243,-4,0
New Mexico,5,Biden,820281,343723,445486,41.903,54.309,-4,0
New Mexico,5,Biden,820770,345217,444572,42.06,54.165,-4,0
New Mexico,5,Biden,820650,339737,450366,41.399,54.879,-4,1
New Mexico,5,Biden,820535,340537,449952,41.502,54.836,-4,1
New Mexico,5,Biden,820661,339752,450177,41.4,54.855,-4,1
New Mexico,5,Biden,820209,340666,448966,41.534,54.738,-4,1
New Mexico,5,Biden,820703,340409,449672,41.478,54.791,-4,1
New Mexico,5,Biden,820352,340475,449395,41.504,54.781,-4,1
New Mexico,5,Biden,821190,340760,449772,41.496,54.771,-4,1
New Mexico,5,Biden,820227,339890,449847,41.439,54.844,-4,1
New Mexico,5,Biden,820554,340705,449254,41.521,54.75,-4,1
New Mexico,5,Biden,820903,340409,449652,41.468,54.775,-4,1
New Mexico,5,Biden,820551,336960,453250,41.065,55.237,-4,2
New Mexico,5,Biden,820597,336628,453911,41.022,55.315,-4,2
New Mexico,5,Biden,819700,336190,453723,41.014,55.352,-4,2
New Mexico,5,Biden,820798,337413,453154,41.108,55.209,-4,2
New Mexico,5,Biden,820991,337691,453176,41.132,55.199,-4,2
New Mexico,5,Biden,819681,336459,452990,41.048,55.264,-4,2
New Mexico,5,Biden,820303,337007,453051,41.083,55.23,-4,2
New Mexico,5,Biden,820270,337483,452526,41.143,55.168,-4,2
New Mexico,5,Biden,820023,336816,452851,41.074,55.224,-4,2
New Mexico,5,Biden,820016,335988,453908,40.973,55.354,-4,2
New Mexico,5,Biden,821416,333478,457796,40.598,55.733,-4,3
New Mexico,5,Biden,820204,332571,457564,40.547,55.787,-4,3
New Mexico,5,Biden,820589,332894,457510,40.568,55.754,-4,3
New Mexico,5,Biden,820887,334125,456746,40.703,55.641,-4,3
New Mexico,5,Biden,820611,333287,457119,40.614,55.705,-4,3
New Mexico,5,Biden,819922,331576,458456,40.44,55.915,-4,3
New Mexico,5,Biden,821643,333933,457636,40.642,55.698,-4,3
New Mexico,5,Biden,819937,332828,456752,40.592,55.706,-4,3
New Mexico,5,Biden,820777,332850,457889,40.553,55.787,-4,3
New Mexico,5,Biden,820280,333650,456590,40.675,55.663,-4,3
New Mexico,5,Biden,820337,329941,460678,40.22,56.157,-4,4
New Mexico,5,Biden,820665,329888,461317,40.198,56.213,-4,4
New Mexico,5,Biden,820096,329239,461450,40.146,56.268,-4,4
New Mexico,5,Biden,820367,329850,460959,40.208,56.189,-4,4
New Mexico,5,Biden,820401,328875,461896,40.087,56.301,-4,4
New Mexico,5,Biden,819994,329422,460938,40.174,56.212,-4,4
New Mexico,5,Biden,820561,329782,460955,40.19,56.176,-4,4
New Mexico,5,Biden,820198,329053,461622,40.119,56.282,-4,4
New Mexico,5,Biden,820992,329425,461780,40.125,56.247,-4,4
New Mexico,5,Biden,820761,329972,460827,40.203,56.146,-4,4
New Mexico,5,Biden,820880,365511,423290,44.527,51.565,-3,-4
New Mexico,5,Biden,820192,365641,422854,44.58,51.555,-3,-4
New Mexico,5,Biden,820111,365530,422789,44.571,51.553,-3,-4
New Mexico,5,Biden,820329,365473,422974,44.552,51.562,-3,-4
New Mexico,5,Biden,821273,365860,423832,44.548,51.607,-3,-4
New Mexico,5,Biden,820597,365774,422945,44.574,51.541,-3,-4
New Mexico,5,Biden,820625,365425,423164,44.53,51.566,-3,-4
New Mexico,5,Biden,820098,365787,422466,44.603,51.514,-3,-4
New Mexico,5,Biden,820238,364352,424133,44.42,51.709,-3,-4
New Mexico,5,Biden,821192,366565,423270,44.638,51.543,-3,-4
New Mexico,5,Biden,820269,362252,426588,44.163,52.006,-3,-3
New Mexico,5,Biden,821037,361870,427783,44.075,52.103,-3,-3
New Mexico,5,Biden,820515,362021,426986,44.121,52.039,-3,-3
New Mexico,5,Biden,820365,362532,426605,44.192,52.002,-3,-3
New Mexico,5,Biden,820693,361678,427348,44.07,52.072,-3,-3
New Mexico,5,Biden,819806,361544,426794,44.101,52.06,-3,-3
New Mexico,5,Biden,820216,361956,426845,44.129,52.041,-3,-3
New Mexico,5,Biden,820039,361461,427295,44.079,52.107,-3,-3
New Mexico,5,Biden,820380,361982,427236,44.124,52.078,-3,-3
New Mexico,5,Biden,819807,362281,426066,44.191,51.972,-3,-3
New Mexico,5,Biden,820672,358088,431424,43.634,52.57,-3,-2
New Mexico,5,Biden,820848,357571,431951,43.561,52.623,-3,-2
New Mexico,5,Biden,820397,357135,432189,43.532,52.68,-3,-2
New Mexico,5,Biden,821187,357472,432474,43.531,52.664,-3,-2
New Mexico,5,Biden,820349,357020,432053,43.521,52.667,-3,-2
New Mexico,5,Biden,820234,358239,430896,43.675,52.533,-3,-2
New Mexico,5,Biden,820321,357354,431758,43.563,52.633,-3,-2
New Mexico,5,Biden,821277,358388,431811,43.638,52.578,-3,-2
New Mexico,5,Biden,820572,357359,431541,43.55,52.59,-3,-2
New Mexico,5,Biden,819906,357145,431110,43.559,52.58,-3,-2
New Mexico,5,Biden,820727,353463,436553,43.067,53.191,-3,-1
New Mexico,5,Biden,820562,353395,436163,43.067,53.154,-3,-1
New Mexico,5,Biden,820403,353617,435831,43.103,53.124,-3,-1
New Mexico,5,Biden,820622,354074,435803,43.147,53.106,-3,-1
New Mexico,5,Biden,819972,353698,435565,43.135,53.119,-3,-1
New Mexico,5,Biden,820350,353247,435962,43.061,53.143,-3,-1
New Mexico,5,Biden,819902,352809,436165,43.031,53.197,-3,-1
New Mexico,5,Biden,820758,353523,436175,43.073,53.143,-3,-1
New Mexico,5,Biden,820972,353204,437061,43.023,53.237,-3,-1
New Mexico,5,Biden,820095,353461,435750,43.1,53.134,-3,-1
New Mexico,5,Biden,821050,349717,441077,42.594,53.721,-3,0
New Mexico,5,Biden,820402,349104,440500,42.553,53.693,-3,0
New Mexico,5,Biden,819923,348748,440478,42.534,53.722,-3,0
New Mexico,5,Biden,820843,349469,440659,42.574,53.684,-3,0
New Mexico,5,Biden,820936,350075,440383,42.643,53.644,-3,0
New Mexico,5,Biden,820096,349461,440201,42.612,53.677,-3,0
New Mexico,5,Biden,820903,349863,440368,42.619,53.644,-3,0
New Mexico,5,Biden,820364,348605,441274,42.494,53.79,-3,0
New Mexico,5,Biden,820542,349474,440370,42.591,53.668,-3,0
New Mexico,5,Biden,820450,350210,439913,42.685,53.619,-3,0
New Mexico,5,Biden,819987,344282,445607,41.986,54.343,-3,1
New Mexico,5,Biden,819960,345542,444218,42.141,54.176,-3,1
New Mexico,5,Biden,820832,346557,443790,42.22,54.066,-3,1
New Mexico,5,Biden,820330,345887,444196,42.164,54.148,-3,1
New Mexico,5,Biden,819845,345489,443950,42.141,54.15,-3,1
New Mexico,5,Biden,820870,345862,444745,42.134,54.18,-3,1
New Mexico,5,Biden,820497,345767,444377,42.141,54.159,-3,1
New Mexico,5,Biden,819691,346019,443516,42.213,54.108,-3,1
New Mexico,5,Biden,819991,345753,443953,42.165,54.141,-3,1
New Mexico,5,Biden,820541,346083,444100,42.177,54.123,-3,1
New Mexico,5,Biden,820316,342107,448318,41.704,54.652,-3,2
New Mexico,5,Biden,820883,342229,448500,41.69,54.636,-3,2
New Mexico,5,Biden,820464,342192,448141,41.707,54.62,-3,2
New Mexico,5,Biden,820836,341835,449154,41.645,54.719,-3,2
New Mexico,5,Biden,820366,341640,448254,41.645,54.641,-3,2
New Mexico,5,Biden,820249,341294,448932,41.609,54.731,-3,2
New Mexico,5,Biden,820863,342348,448345,41.706,54.619,-3,2
New Mexico,5,Biden,821023,342253,448634,41.686,54.643,-3,2
New Mexico,5,Biden,821201,342513,448537,41.709,54.62,-3,2
New Mexico,5,Biden,820127,342469,447736,41.758,54.593,-3,2
New Mexico,5,Biden,820779,338001,452751,41.181,55.161,-3,3
New Mexico,5,Biden,820209,338089,452524,41.22,55.172,-3,3
New Mexico,5,Biden,820375,337992,452600,41.2,55.17,-3,3
New Mexico,5,Biden,820423,337818,452893,41.176,55.202,-3,3
New Mexico,5,Biden,820491,339107,451736,41.33,55.057,-3,3
New Mexico,5,Biden,820221,337431,453449,41.139,55.284,-3,3
New Mexico,5,Biden,820767,338404,452652,41.23,55.15,-3,3
New Mexico,5,Biden,820404,338738,451882,41.289,55.08,-3,3
New Mexico,5,Biden,820361,337849,452913,41.183,55.209,-3,3
New Mexico,5,Biden,820852,338435,452598,41.23,55.138,-3,3
New Mexico,5,Biden,821010,335335,456255,40.844,55.572,-3,4
New Mexico,5,Biden,820715,335198,456164,40.842,55.581,-3,4
New Mexico,5,Biden,820663,334531,456782,40.764,55.66,-3,4
New Mexico,5,Biden,820818,334756,456710,40.783,55.641,-3,4
New Mexico,5,Biden,820471,335174,456022,40.851,55.581,-3,4
New Mexico,5,Biden,820912,334403,456997,40.736,55.669,-3,4
New Mexico,5,Biden,819927,335226,455462,40.885,55.549,-3,4
New Mexico,5,Biden,820654,336112,455025,40.957,55.447,-3,4
New Mexico,5,Biden,820287,334286,456610,40.752,55.665,-3,4
New Mexico,5,Biden,820056,334851,455628,40.833,55.561,-3,4
New Mexico,5,Biden,820282,370239,418784,45.136,51.054,-2,-4
New Mexico,5,Biden,820577,371520,417470,45.275,50.875,-2,-4
New Mexico,5,Biden,820730,371125,418157,45.219,50.949,-2,-4
New Mexico,5,Biden,819975,370715,417758,45.211,50.948,-2,-4
New Mexico,5,Biden,821310,371765,417780,45.265,50.868,-2,-4
New Mexico,5,Biden,820310,370981,417975,45.224,50.953,-2,-4
New Mexico,5,Biden,820739,371662,417445,45.284,50.862,-2,-4
New Mexico,5,Biden,820831,371387,418028,45.245,50.927,-2,-4
New Mexico,5,Biden,820045,371252,417056,45.272,50.858,-2,-4
New Mexico,5,Biden,820345,371424,417366,45.277,50.877,-2,-4
New Mexico,5,Biden,820778,367082,422531,44.724,51.479,-2,-3
New Mexico,5,Biden,819747,366007,422755,44.649,51.571,-2,-3
New Mexico,5,Biden,820127,367429,421546,44.801,51.4,-2,-3
New Mexico,5,Biden,821242,366859,423135,44.671,51.524,-2,-3
New Mexico,5,Biden,820045,366733,422088,44.721,51.471,-2,-3
New Mexico,5,Biden,820031,366442,422327,44.686,51.501,-2,-3
New Mexico,5,Biden,820708,366281,423289,44.63,51.576,-2,-3
New Mexico,5,Biden,820818,366788,422712,44.686,51.499,-2,-3
New Mexico,5,Biden,820951,367301,421970,44.741,51.4,-2,-3
New Mexico,5,Biden,820387,367237,421926,44.764,51.43,-2,-3
New Mexico,5,Biden,820831,362829,427145,44.203,52.038,-2,-2
New Mexico,5,Biden,819895,363494,425490,44.334,51.896,-2,-2
New Mexico,5,Biden,820289,362724,426852,44.219,52.037,-2,-2
New Mexico,5,Biden,820672,362562,427244,44.179,52.06,-2,-2
New Mexico,5,Biden,820269,362810,426735,44.231,52.024,-2,-2
New Mexico,5,Biden,820265,362105,427475,44.145,52.114,-2,-2
New Mexico,5,Biden,820087,362168,427272,44.162,52.101,-2,-2
New Mexico,5,Biden,820661,362602,427040,44.184,52.036,-2,-2
New Mexico,5,Biden,821054,363070,427089,44.22,52.017,-2,-2
New Mexico,5,Biden,820670,362472,427039,44.168,52.035,-2,-2
New Mexico,5,Biden,821457,358708,432224,43.667,52.617,-2,-1
New Mexico,5,Biden,820589,358438,431390,43.681,52.571,-2,-1
New Mexico,5,Biden,820250,357946,431941,43.639,52.66,-2,-1
New Mexico,5,Biden,820484,357916,432131,43.623,52.668,-2,-1
New Mexico,5,Biden,820660,359296,430715,43.781,52.484,-2,-1
New Mexico,5,Biden,820288,357621,432095,43.597,52.676,-2,-1
New Mexico,5,Biden,820481,358536,431692,43.698,52.615,-2,-1
New Mexico,5,Biden,820779,358780,431395,43.712,52.559,-2,-1
New Mexico,5,Biden,820539,359072,431139,43.761,52.543,-2,-1
New Mexico,5,Biden,820668,358713,431306,43.71,52.555,-2,-1
New Mexico,5,Biden,821103,355281,435264,43.269,53.01,-2,0
New Mexico,5,Biden,820812,354900,435527,43.238,53.061,-2,0
New Mexico,5,Biden,820052,354689,435213,43.252,53.071,-2,0
New Mexico,5,Biden,820669,354895,435460,43.245,53.062,-2,0
New Mexico,5,Biden,820647,354522,435822,43.2,53.107,-2,0
New Mexico,5,Biden,820563,354312,436016,43.179,53.136,-2,0
New Mexico,5,Biden,819683,354763,434643,43.281,53.026,-2,0
New Mexico,5,Biden,820690,354615,435883,43.209,53.112,-2,0
New Mexico,5,Biden,820463,355438,435011,43.322,53.02,-2,0
New Mexico,5,Biden,820339,354344,435835,43.195,53.129,-2,0
New Mexico,5,Biden,820710,351238,439430,42.797,53.543,-2,1
New Mexico,5,Biden,819985,350296,439425,42.72,53.589,-2,1
New Mexico,5,Biden,821121,351247,439790,42.777,53.56,-2,1
New Mexico,5,Biden,820713,350591,439775,42.718,53.585,-2,1
New Mexico,5,Biden,820454,351123,439218,42.796,53.534,-2,1
New Mexico,5,Biden,820628,351244,439459,42.802,53.552,-2,1
New Mexico,5,Biden,820037,350751,439596,42.773,53.607,-2,1
New Mexico,5,Biden,820820,351279,439706,42.796,53.569,-2,1
New Mexico,5,Biden,820033,350771,439253,42.775,53.565,-2,1
New Mexico,5,Biden,820406,350398,439902,42.71,53.62,-2,1
New Mexico,5,Biden,820886,347331,443711,42.312,54.053,-2,2
New Mexico,5,Biden,820835,346661,444465,42.233,54.148,-2,2
New Mexico,5,Biden,820495,347668,442879,42.373,53.977,-2,2
New Mexico,5,Biden,820113,347312,443093,42.349,54.028,-2,2
New Mexico,5,Biden,820828,348218,442903,42.423,53.958,-2,2
New Mexico,5,Biden,821197,348534,443264,42.442,53.978,-2,2
New Mexico,5,Biden,820464,346730,443712,42.26,54.081,-2,2
New Mexico,5,Biden,821383,348107,443995,42.381,54.055,-2,2
New Mexico,5,Biden,820323,346855,443735,42.283,54.093,-2,2
New Mexico,5,Biden,819638,347012,443025,42.337,54.051,-2,2
New Mexico,5,Biden,819547,343330,446795,41.893,54.517,-2,3
New Mexico,5,Biden,820546,343872,447599,41.908,54.549,-2,3
New Mexico,5,Biden,820865,342977,448620,41.782,54.652,-2,3
New Mexico,5,Biden,820540,342749,448710,41.771,54.685,-2,3
New Mexico,5,Biden,820716,343071,448389,41.801,54.634,-2,3
New Mexico,5,Biden,819844,343053,447051,41.844,54.529,-2,3
New Mexico,5,Biden,820485,342927,448035,41.796,54.606,-2,3
New Mexico,5,Biden,820466,343097,448115,41.817,54.617,-2,3
New Mexico,5,Biden,819982,342751,447933,41.8,54.627,-2,3
New Mexico,5,Biden,821138,343709,448301,41.858,54.595,-2,3
New Mexico,5,Biden,820832,340564,451255,41.49,54.975,-2,4
New Mexico,5,Biden,819963,339223,451375,41.371,55.048,-2,4
New Mexico,5,Biden,821004,340614,451032,41.487,54.937,-2,4
New Mexico,5,Biden,820441,339294,451981,41.355,55.09,-2,4
New Mexico,5,Biden,820810,340007,451661,41.423,55.026,-2,4
