State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
New York,28,Biden,7114129,3076880,3755763,43.25,52.793,-4,-4
New York,28,Biden,7116227,3079213,3755995,43.27,52.781,-4,-4
New York,28,Biden,7116545,3082585,3752301,43.316,52.726,-4,-4
New York,28,Biden,7113709,3078088,3753427,43.27,52.763,-4,-4
New York,28,Biden,7115475,3079596,3754879,43.28,52.771,-4,-4
New York,28,Biden,7115199,3078899,3754466,43.272,52.767,-4,-4
New York,28,Biden,7114080,3078144,3753530,43.268,52.762,-4,-4
New York,28,Biden,7116629,3080301,3754061,43.283,52.751,-4,-4
New York,28,Biden,7113533,3076126,3754756,43.243,52.783,-4,-4
New York,28,Biden,7115788,3082640,3751173,43.321,52.716,-4,-4
New York,28,Biden,7114774,3039189,3796063,42.717,53.355,-4,-3
New York,28,Biden,7113893,3043678,3790999,42.785,53.29,-4,-3
New York,28,Biden,7115322,3040927,3795546,42.738,53.343,-4,-3
New York,28,Biden,7114555,3043425,3792742,42.777,53.31,-4,-3
New York,28,Biden,7113939,3041334,3792586,42.752,53.312,-4,-3
New York,28,Biden,7115348,3041701,3794849,42.748,53.333,-4,-3
New York,28,Biden,7114157,3040035,3794538,42.732,53.338,-4,-3
New York,28,Biden,7115187,3042574,3793767,42.762,53.319,-4,-3
New York,28,Biden,7115430,3041451,3794164,42.744,53.323,-4,-3
New York,28,Biden,7114219,3042707,3791947,42.769,53.301,-4,-3
New York,28,Biden,7115751,3006519,3833077,42.252,53.867,-4,-2
New York,28,Biden,7114285,3005819,3832256,42.25,53.867,-4,-2
New York,28,Biden,7115364,3007526,3830868,42.268,53.839,-4,-2
New York,28,Biden,7115868,3005862,3834898,42.242,53.892,-4,-2
New York,28,Biden,7117889,3010479,3831829,42.295,53.834,-4,-2
New York,28,Biden,7115780,3008184,3831888,42.275,53.851,-4,-2
New York,28,Biden,7114638,3005981,3832715,42.251,53.871,-4,-2
New York,28,Biden,7117227,3010234,3831067,42.295,53.828,-4,-2
New York,28,Biden,7115556,3008693,3830898,42.283,53.838,-4,-2
New York,28,Biden,7115476,3007660,3832205,42.269,53.857,-4,-2
New York,28,Biden,7115280,2973588,3868554,41.792,54.37,-4,-1
