State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent,Trump_Polling_Error,Biden_Polling_Error
South Dakota,3,Trump,368079,221244,130984,60.108,35.586,-4,-4
South Dakota,3,Trump,367925,221713,130494,60.26,35.468,-4,-4
South Dakota,3,Trump,367976,221781,130462,60.271,35.454,-4,-4
South Dakota,3,Trump,368016,221719,130628,60.247,35.495,-4,-4
South Dakota,3,Trump,367315,220902,130689,60.14,35.58,-4,-4
South Dakota,3,Trump,367950,221218,131012,60.122,35.606,-4,-4
South Dakota,3,Trump,368175,221481,130886,60.156,35.55,-4,-4
South Dakota,3,Trump,367935,221303,130908,60.147,35.579,-4,-4
South Dakota,3,Trump,367452,220794,130968,60.088,35.642,-4,-4
South Dakota,3,Trump,368173,221740,130642,60.227,35.484,-4,-4
South Dakota,3,Trump,367936,218644,133632,59.424,36.319,-4,-3
South Dakota,3,Trump,367761,218346,133645,59.372,36.34,-4,-3
South Dakota,3,Trump,367371,217956,133833,59.329,36.43,-4,-3
South Dakota,3,Trump,368190,218091,134402,59.233,36.503,-4,-3
South Dakota,3,Trump,367826,218381,133719,59.371,36.354,-4,-3
South Dakota,3,Trump,367820,218286,134013,59.346,36.434,-4,-3
South Dakota,3,Trump,367793,218552,133760,59.423,36.368,-4,-3
South Dakota,3,Trump,368106,218715,133723,59.416,36.327,-4,-3
South Dakota,3,Trump,368036,218523,133895,59.375,36.381,-4,-3
South Dakota,3,Trump,367543,218420,133451,59.427,36.309,-4,-3
South Dakota,3,Trump,367402,215395,136675,58.627,37.2,-4,-2
South Dakota,3,Trump,367631,215882,136226,58.722,37.055,-4,-2
South Dakota,3,Trump,367611,215793,136454,58.701,37.119,-4,-2
South Dakota,3,Trump,367417,215635,136433,58.689,37.133,-4,-2
South Dakota,3,Trump,367986,216155,136540,58.74,37.105,-4,-2
South Dakota,3,Trump,367314,215197,136569,58.587,37.18,-4,-2
South Dakota,3,Trump,367647,215460,136567,58.605,37.146,-4,-2
South Dakota,3,Trump,368033,215683,136937,58.604,37.208,-4,-2
South Dakota,3,Trump,367406,215531,136578,58.663,37.174,-4,-2
South Dakota,3,Trump,368344,216286,136415,58.718,37.035,-4,-2
South Dakota,3,Trump,368094,213230,139636,57.928,37.935,-4,-1
South Dakota,3,Trump,368042,213622,139252,58.043,37.836,-4,-1
South Dakota,3,Trump,367680,212574,139845,57.815,38.034,-4,-1
South Dakota,3,Trump,367575,213065,139255,57.965,37.885,-4,-1
South Dakota,3,Trump,367608,213622,138796,58.111,37.757,-4,-1
South Dakota,3,Trump,367876,213238,139396,57.965,37.892,-4,-1
South Dakota,3,Trump,367842,213118,139460,57.937,37.913,-4,-1
South Dakota,3,Trump,368238,213052,139912,57.857,37.995,-4,-1
South Dakota,3,Trump,367744,212953,139845,57.908,38.028,-4,-1
South Dakota,3,Trump,368312,213142,139823,57.87,37.963,-4,-1
South Dakota,3,Trump,368000,210508,142289,57.203,38.665,-4,0
South Dakota,3,Trump,368008,210263,142666,57.135,38.767,-4,0
South Dakota,3,Trump,368291,210438,142541,57.139,38.703,-4,0
South Dakota,3,Trump,368176,210374,142679,57.14,38.753,-4,0
South Dakota,3,Trump,367923,210369,142773,57.177,38.805,-4,0
South Dakota,3,Trump,367514,210188,142395,57.192,38.745,-4,0
South Dakota,3,Trump,368083,210337,142706,57.144,38.77,-4,0
South Dakota,3,Trump,367708,210160,142557,57.154,38.769,-4,0
South Dakota,3,Trump,367443,210258,142108,57.222,38.675,-4,0
South Dakota,3,Trump,368040,209826,143026,57.012,38.862,-4,0
South Dakota,3,Trump,367290,207902,144338,56.604,39.298,-4,1
South Dakota,3,Trump,367767,207617,145274,56.453,39.502,-4,1
South Dakota,3,Trump,367638,207607,145056,56.47,39.456,-4,1
South Dakota,3,Trump,367845,208039,145094,56.556,39.444,-4,1
South Dakota,3,Trump,367584,207484,145335,56.445,39.538,-4,1
South Dakota,3,Trump,367987,207783,145307,56.465,39.487,-4,1
South Dakota,3,Trump,368039,207903,145311,56.489,39.483,-4,1
South Dakota,3,Trump,367249,207743,144675,56.567,39.394,-4,1
South Dakota,3,Trump,367667,208125,144552,56.607,39.316,-4,1
South Dakota,3,Trump,367922,207390,145418,56.368,39.524,-4,1
South Dakota,3,Trump,367935,205402,147651,55.826,40.13,-4,2
South Dakota,3,Trump,367613,205514,147227,55.905,40.049,-4,2
South Dakota,3,Trump,367944,205043,147927,55.727,40.204,-4,2
South Dakota,3,Trump,367245,204574,147764,55.705,40.236,-4,2
South Dakota,3,Trump,368009,205458,147834,55.83,40.171,-4,2
South Dakota,3,Trump,367971,205017,148383,55.716,40.325,-4,2
South Dakota,3,Trump,367660,204795,148081,55.702,40.277,-4,2
South Dakota,3,Trump,367850,204508,148427,55.595,40.35,-4,2
South Dakota,3,Trump,367916,205051,148046,55.733,40.239,-4,2
South Dakota,3,Trump,367887,205234,148039,55.787,40.24,-4,2
South Dakota,3,Trump,367257,202149,150555,55.043,40.994,-4,3
South Dakota,3,Trump,368128,202747,151052,55.075,41.032,-4,3
South Dakota,3,Trump,367603,202912,149996,55.199,40.804,-4,3
South Dakota,3,Trump,367990,202865,150661,55.128,40.942,-4,3
South Dakota,3,Trump,368060,202744,150782,55.084,40.967,-4,3
South Dakota,3,Trump,367505,203284,149607,55.315,40.709,-4,3
South Dakota,3,Trump,367443,202236,150775,55.039,41.034,-4,3
South Dakota,3,Trump,367825,202101,150890,54.945,41.022,-4,3
South Dakota,3,Trump,367872,203044,150473,55.194,40.904,-4,3
South Dakota,3,Trump,367863,202912,150478,55.16,40.906,-4,3
South Dakota,3,Trump,367682,200397,152949,54.503,41.598,-4,4
South Dakota,3,Trump,367880,200526,152776,54.509,41.529,-4,4
South Dakota,3,Trump,368348,200536,153346,54.442,41.631,-4,4
South Dakota,3,Trump,367894,200535,152940,54.509,41.572,-4,4
South Dakota,3,Trump,368323,200607,153155,54.465,41.582,-4,4
South Dakota,3,Trump,367874,200569,152952,54.521,41.577,-4,4
South Dakota,3,Trump,367856,200548,152862,54.518,41.555,-4,4
South Dakota,3,Trump,367491,200436,152620,54.542,41.53,-4,4
South Dakota,3,Trump,368117,200101,153542,54.358,41.71,-4,4
South Dakota,3,Trump,367469,199649,153391,54.331,41.743,-4,4
South Dakota,3,Trump,367256,223156,128639,60.763,35.027,-3,-4
South Dakota,3,Trump,367937,223763,128544,60.816,34.936,-3,-4
South Dakota,3,Trump,368216,223406,129291,60.673,35.113,-3,-4
South Dakota,3,Trump,367645,222608,129294,60.55,35.168,-3,-4
South Dakota,3,Trump,367563,222816,128912,60.62,35.072,-3,-4
South Dakota,3,Trump,367760,222865,129137,60.601,35.114,-3,-4
South Dakota,3,Trump,367779,223147,128911,60.674,35.051,-3,-4
South Dakota,3,Trump,368061,223274,129209,60.662,35.105,-3,-4
South Dakota,3,Trump,367696,223074,129052,60.668,35.097,-3,-4
South Dakota,3,Trump,368444,223560,129476,60.677,35.141,-3,-4
South Dakota,3,Trump,367886,220363,131950,59.9,35.867,-3,-3
South Dakota,3,Trump,367408,219895,132095,59.85,35.953,-3,-3
South Dakota,3,Trump,367905,220228,132086,59.86,35.902,-3,-3
South Dakota,3,Trump,367501,220322,131685,59.951,35.833,-3,-3
South Dakota,3,Trump,367375,220418,131542,59.998,35.806,-3,-3
South Dakota,3,Trump,367675,220725,131284,60.033,35.707,-3,-3
South Dakota,3,Trump,367754,220711,131534,60.016,35.767,-3,-3
South Dakota,3,Trump,367628,220488,131515,59.976,35.774,-3,-3
South Dakota,3,Trump,368002,220330,132187,59.872,35.92,-3,-3
South Dakota,3,Trump,367661,220225,132024,59.899,35.909,-3,-3
South Dakota,3,Trump,367741,216880,135412,58.976,36.823,-3,-2
South Dakota,3,Trump,367973,217622,135227,59.141,36.749,-3,-2
South Dakota,3,Trump,368048,217850,134947,59.191,36.666,-3,-2
South Dakota,3,Trump,367960,217539,135063,59.12,36.706,-3,-2
